255,255,,,60,457,87,245.00,74.99,57.15,3489,261630.00
385,385,,,71,614,87,233.00,60.12,46.75,3964,238301.00
472,472,,,78,992,87,231.00,62.91,51.02,3452,217171.00
544,544,,,82,1441,87,141.00,50.99,26.54,3865,197060.00
84,84,,,46,1367,88,131.00,56.83,24.11,1502,85357.00
105,105,,,47,1299,88,128.00,44.21,22.24,3635,160715.00
134,134,,,53,1177,88,178.00,71.43,37.21,2675,191068.00
413,413,,,77,1024,88,222.00,65.18,52.07,3608,235177.00
510,510,,,81,1330,88,243.00,95.52,54.03,2330,222567.00
545,545,,,80,1191,88,222.00,87.76,46.48,2200,193063.00
237,237,,,60,665,89,229.00,67.89,51.31,3454,234503.00
266,266,,,61,519,89,249.00,80.24,62.28,2761,221529.00
564,564,,,86,1370,89,183.00,58.68,32.88,3026,177580.00
238,238,,,59,584,90,237.00,63.07,51.85,3904,246237.00
86,86,,,48,1129,91,155.00,46.91,33.90,4102,192411.00
370,370,,,70,1429,91,217.00,62.98,41.80,3464,218179.00
387,387,,,71,782,91,198.00,56.93,43.95,4096,233181.00
397,397,,,72,847,91,188.00,57.14,42.11,3284,187657.00
147,147,,,54,871,92,175.00,50.58,37.50,3464,175199.00
239,239,,,59,608,92,223.00,70.56,54.81,3312,233685.00
267,267,,,60,735,92,231.00,66.82,53.96,3124,208736.00
428,428,,,75,951,92,234.00,55.80,41.55,3301,184206.00
193,193,,,55,1421,93,147.00,51.00,27.87,3604,183796.00
268,268,,,61,766,93,207.00,57.76,46.21,3726,215222.00
389,389,,,72,899,93,186.00,54.66,41.59,3813,208430.00
500,500,,,81,1141,93,223.00,65.04,48.28,3306,215015.00
222,222,,,58,832,94,206.00,56.52,46.76,4337,245138.00
388,388,,,71,1014,94,180.00,52.80,38.41,3284,173392.00
511,511,,,80,1161,94,216.00,67.11,40.89,2401,161128.00
148,148,,,54,1108,95,172.00,54.21,36.27,3593,194787.00
241,241,,,59,1039,96,198.00,54.88,43.08,3279,179966.00
283,283,,,65,1300,96,179.00,60.74,40.55,3498,212472.00
294,294,,,62,1246,96,199.00,79.39,40.98,2531,200927.00
240,240,,,59,853,97,220.00,64.26,51.91,2917,187461.00
242,242,,,60,925,97,184.00,49.51,40.58,4264,211126.00
257,257,,,60,1059,97,184.00,52.02,39.12,3471,180573.00
258,258,,,61,947,97,216.00,57.59,46.77,3331,191841.00
414,414,,,71,1152,97,234.00,89.96,50.73,2341,210586.00
440,440,,,75,1220,97,175.00,63.28,37.62,2937,185851.00
293,293,,,62,1351,98,187.00,64.00,40.18,2962,189558.00
341,341,,,66,1390,98,133.00,48.49,23.85,3489,169190.00
171,171,,,53,1199,99,157.00,67.82,32.70,1226,83147.00
270,270,,,60,1178,99,197.00,83.71,43.94,2346,196377.00
271,271,,,62,1129,101,187.00,55.66,39.02,3951,219922.00
284,284,,,63,1111,101,179.00,64.77,42.79,3347,216781.00
309,309,,,63,1268,102,159.00,56.39,34.31,3244,182924.00
636,636,,,88,1176,70,27.00, 3.76, 2.53,1413,5314.00
637,637,,,89,1200,79,30.00, 2.68, 2.63,1413,3793.00
638,638,,,88,1190,73,25.00, 3.07, 2.69,1413,4333.00
639,639,,,91,1217,58,168.00,65.99,41.15,3273,215981.00
640,640,,,90,1249,52,15.00, 2.55, 2.63,1413,3610.00
641,641,,,80,1259,53,15.00, 2.64, 2.52,1413,3731.00
642,642,,,81,1278,55,17.00, 2.39, 2.15,1413,3384.00
643,643,,,75,1281,47,14.00, 2.46, 2.00,1413,3472.00
644,644,,,80,1278,74,12.00, 2.95, 2.30,1413,4166.00
645,645,,,74,1282,81,13.00, 2.78, 1.95,1413,3933.00
646,646,,,81,1199,69,30.00, 2.87, 2.90,1413,4059.00
647,647,,,43,1180,58,14.00, 2.81, 2.19,1413,3966.00
